abandon	abandon [ə'bændən] (動) 放棄；拋棄
birdwatcher	birdwatcher ['bɝdˌwɑtʃɚ] (名) 賞鳥者；觀察鳥類的人
birth	birth ['bɝθ] (名) 出生；誕生　(名) 血統；出身
birthday	birthday ['bɝθde] (名) 生日；誕生日
biscuit	biscuit ['bɪskɪt] (名) 餅乾；小餅
bisect	bisect [baɪ'sɛkt] (動) 平分；二等分　(動) 切成兩部分
bit	bit [bɪt] (名) 一點；少量　(動) 咬；叮咬
bitch	bitch ['bɪtʃ] (名) 母狗；粗魯的女人　(動) 抱怨；發牢騷
bite	bite ['baɪt] (動) 咬；叮　(名) 咬；一口
biting	biting ['baɪtɪŋ] (形) 刺痛的；尖銳的　(動) 咬；叮咬
bitter	bitter ['bɪtɚ] (形) 苦的；痛苦的　(副) 極其；非常
bizarre	bizarre [bɪ'zɑr] (形) 奇怪的；古怪的　(形) 離奇的；荒誕的
black	black ['blæk] (形) 黑色的；黑暗的　(名) 黑色；黑人
blackboard	blackboard ['blæk.bord] (名) 黑板；粉筆板
blackout	blackout ['blæk͵aʊt] (名) 停電；斷電　(名) 昏迷；失意識
blacksmith	blacksmith ['blæksmɪθ] (名) 鐵匠；打鐵工人
bladder	bladder ['blædɚ] (名) 膀胱；儲存器
blade	blade [blɛd] (名) 刀片；葉片　(動) 用刀片切割
blame	blame [blem] (動) 責備；指責　(名) 責任；過錯
blameworthy	blameworthy ['blemˌwɝði] (形) 應受責備的；值得責罪的
blanch	blanch ['blæntʃ] (動) 焯；用沸水快速煮　(動) 變蒼白；退色
bland	bland ['blænd] (形) 乏味的；單調的　(形) 溫和的；淡的
blank	blank [blæŋk] (形) 空白的；無字跡的　(名) 空白；空白處　(動) 忘記；(記憶)一片空白
blanket	blanket ['blæŋkɪt] (名) 毛毯；毛巾　(動) 覆蓋；包裹　(形) 全面的；籠統的
blankly	blankly ['blæŋkli] (副) 茫然地；無表情地　呆滯地；空洞地
blare	blare [blɛr] (動) 發出刺耳的聲音；大聲鳴響　(名) 刺耳的噪音；響亮的聲音
blast	blast [blæst] (名) 爆炸；氣流　(動) 炸毀；破壞　(片) 太棒了
blatant	blatant ['blætənt] (形) 明目張膽的；公然的　(形) 露骨的；刺眼的
blatantly	blatantly ['blɛtəntli] (副) 公然地；明目張膽地　毫不隱瞞地
blaze	blaze [blɛz] (動) 燃燒；熊熊燃燒　(名) 火焰；烈火
bleach	bleach ['blitʃ] (名) 漂白劑；漂白水　(動) 漂白；使褪色　(形) 蒼白的；淡白的
bleak	bleak ['blɪk] (形) 荒涼的；冷清的　(形) 黯淡的；無希望的
bleed	bleed ['blid] (動) 流血；出血　(動) 滲出；洩漏
blemish	blemish ['blɛmɪʃ] (名) 瑕疵；污點　(動) 損害；使有瑕疵　(形) 有瑕疵的；不完美的
blend	blend [blɛnd] (動) 混合；融合　(名) 混合物；混合品
blender	blender ['blɛndɚ] (名) 果汁機；攪拌機
bless	bless ['blɛs] (動) 祝福；祝願　(動) 讚美；頌揚
blessed	blessed ['blɛsɪd] (形) 幸福的；蒙福的　(形) 受祝福的；神聖的
blessing	blessing ['blɛsɪŋ] (名) 祝福；恩惠　(動) 祝福；保佑
blight	blight ['blaɪt] (名) 枯萎病；病害　(動) 使枯萎；摧毀　(形) 枯萎的；被摧毀的
blind	blind ['blaɪnd] (形) 盲的；看不見的　(動) 使看不見；蒙住眼睛
blindfold	blindfold ['blaɪndˌfold] (動) 蒙住眼睛；遮蔽視線　(名) 眼罩；蒙眼布
blinds	blinds ['blaɪndz] (名) 百葉窗；窗簾　(動) 使失明；蒙蔽
blink	blink ['blɪŋk] (動) 眨眼；閃爍　(名) 眨眼；一瞬間
bliss	bliss ['blɪs] (名) 極樂；幸福　(形) 極樂的；幸福的
blissful	blissful ['blɪsfəl] (形) 幸福的；極樂的　(形) 喜樂的；快樂的
blissfully	blissfully ['blɪsfəli] (副) 幸福地；快樂地　(副) 毫不在乎地；不知不覺地
blissfulness	blissfulness ['blɪsfəlnəs] (名) 極端的幸福；完全的喜悅
blister	blister ['blɪstɚ] (名) 水泡；泡沫　(動) 起泡；長水泡
blizzard	blizzard ['blɪzɚd] (名) 暴風雪；猛烈的風雪
bloat	bloat ['blot] (動) 腫脹；膨脹　(名) 腫脹；脹氣
bloated	bloated ['blotɪd] (形) 臃腫的；腫脹的　(形) 浮誇的；冗長的
bloating	bloating ['bloʊtɪŋ] (形) 腹脹的；浮腫的　(名) 腹脹；脹滿
bloc	bloc ['blɑk] (名) 集團；聯盟　(名) 板塊；區域
block	block [blɑk] (名) 街區；塊　(動) 阻擋；妨礙　(形) 堵住的；被阻擋的
blockade	blockade ['blɑke͡d] (名) 封鎖；圍困　(動) 封鎖；阻斷
blockbuster	blockbuster ['blɑkˌbʌstɚ] (名) 大片電影；暢銷書　(形) 極受歡迎的；票房大賣的
blocking	blocking ['blɑkɪŋ] (名) 阻擋；阻止　(動) 阻擋；妨礙
blog	blog ['blɑg] (名) 部落格；網誌　(動) 在部落格上寫文章
blogger	blogger ['blɑgɚ] (名) 部落格寫手；網誌作者
bloke	bloke ['blok] (名) 男人；傢伙
blonde	blonde [blɑnd] (形) 金色的；淺色的　(名) 金髮人；淺色
blood	blood [blʌd] (名) 血液；血　(名) 暴力；流血
bloodmobile	bloodmobile ['blʌd.moˌbil] (名) 獻血車；流動獻血車
bloodshed	bloodshed ['blʌdˌʃɛd] (名) 流血；死傷　(名) 暴力衝突；殺戮
bloodstock	bloodstock ['blʌd͵stɑk] (名) 純種馬；優良血統的動物
bloodthirsty	bloodthirsty ['blʌdˌθɝsti] (形) 嗜血的；渴望暴力的　(形) 殘忍的；兇狠的
bloody	bloody ['blʌdi] (形) 流血的；血淋淋的　(副) 非常地；很
bloom	bloom [blum] (動) 開花；盛開　(名) 花朵；花期
bloomery	bloomery ['blumɛri] (名) 原始煉鐵爐；古代冶鐵裝置
blooper	blooper ['blupɚ] (名) 失誤；錯誤　(名) 不小心說出的愚蠢話
blossom	blossom ['blɑsəm] (名) 花；花朵　(動) 開花；繁榮
blossomy	blossomy ['blɑsəmi] (形) 開滿花朵的；花朵繁茂的
blot	blot [blɑt] (名) 污點；墨跡　(動) 弄髒；玷污　(動) 吸乾；擦乾
blotto	blotto ['blɑto] (形) 爛醉的；酩酊大醉的
blouse	blouse ['blaʊz] (名) 女性上衣；襯衫
blow	blow [blo] (動) 吹；吹動　(動) 打；打擊　(名) 一擊；打擊
blubber	blubber ['blʌbɚ] (名) 鯨脂；脂肪　(動) 哭喊；哭著說話
blue	blue [blu] (形) 藍色的；藍色　(形) 憂鬱的；沮喪的
blueprint	blueprint ['bluˌprɪnt] (名) 藍圖；設計圖　(動) 規劃；製定計畫
blues	blues ['bluz] (名) 藍調音樂；憂鬱；悲傷
blunder	blunder ['blʌndɚ] (名) 重大錯誤；失策　(動) 犯大錯；笨拙地行動
blunt	blunt [blʌnt] (形) 鈍的；不尖銳的　(動) 使變鈍；削弱
blur	blur [blɝ] (動) 模糊；使不清楚　(名) 模糊的東西；污點
blurred	blurred [blɝd] (形) 模糊的；不清楚的　(動) 使模糊；弄不清
blurry	blurry ['blɝi] (形) 模糊的；不清楚的　(形) 視線不清的；眼花的
blush	blush [blʌʃ] (動) 臉紅；羞紅　(名) 臉紅；羞愧
boar	boar ['bor] (名) 野豬；公豬
board	board [bord] (名) 木板；董事會　(動) 登上；上車
boast	boast ['best] (動) 吹牛；自誇　(名) 吹牛的話；自誇
boastful	boastful ['bostfəl] (形) 愛吹牛的；自誇的
boat	boat ['bot] (名) 船；小船　(動) 划船；乘船
boat|	boat| ['bot] (名) 小船；船　(名) 划船；乘船
bob	bob [bɑb] (動) 上下擺動；點頭　(名) 短髮；浮子
bodacious	bodacious [bo'deʃəs] (形) 大膽的；令人印象深刻的　(形) 性感的；誘人的
bode	bode ['bod] (動) 預示；顯示　(名) 預兆；徵兆
bodily	bodily ['bɑdəli] (形) 身體的；軀體的　(副) 以身體方式；實際上
body	body ['bɑdi] (名) 身體；軀體　(名) 屍體；遺體　(名) 團體；組織
bodyguard	bodyguard ['bɑdiˌgɑrd] (名) 保鏢；護衛
bog	bog [bɑg] (名) 沼澤；泥炭地　(動) 陷入；困住
boggle	boggle ['bɑgl] (動) 使困惑；使茫然　(名) 困惑；遊戲
bogus	bogus ['boɡəs] (形) 假的；偽造的　(形) 欺騙的；不真實的
boil	boil ['bɔɪl] (動) 煮沸；沸騰　(名) 沸騰；煮沸
boiling	boiling ['bɔɪlɪŋ] (形) 沸騰的；煮沸的　(名) 煮沸；沸騰
bold	bold ['bold] (形) 勇敢的；大膽的　(動) 大膽嘗試；冒險
bolster	bolster ['bolstɚ] (動) 支持；鞏固　(名) 長枕；靠墊
bolt	bolt [bolt] (動) 衝出；逃跑　(名) 門栓；閃電
bomb	bomb ['bɑm] (名) 炸彈；爆彈　(動) 轟炸；投擲炸彈　(動) 砸；失敗
bombard	bombard ['bɑmbɑrd] (動) 轟炸；砲轟　(動) 不斷攻擊；連續提問
bombast	bombast ['bɑmbæst] (名) 浮誇的言辭；誇大其詞　(形) 浮誇的；誇大的
bomber	bomber ['bɑmbɚ] (名) 轟炸機；轟炸手　(名) 棒球投手
bond	bond ['bɑnd] (名) 紐帶；連結　(動) 粘合；結合
bondage	bondage ['bɑndɪdʒ] (名) 束縛；奴役　(動) 束縛；囚禁
bonding	bonding ['bɑndɪŋ] (名) 建立關係；連結　(動) 結合；黏合
bone	bone [bon] (名) 骨頭；骨骼　(動) 剔除骨頭
bonus	bonus ['bɑnəs] (名) 獎金；紅利　(名) 額外好處；附加利益
bony	bony ['bone] (形) 骨瘦如柴的；瘦骨嶙峋的　(形) 含骨頭的；多骨的
boogie	boogie ['bugi] (動) 跳舞；搖擺　(名) 布吉舞；搖滾樂
book	book [bʊk] (名) 書；書籍　(動) 預訂；預約
bookcase	bookcase ['bʊkˌkes] (名) 書櫃；書架
booking	booking ['bʊkɪŋ] (名) 預訂；訂位　(動) 預訂；登記
bookkeeping	bookkeeping ['bʊkˌkipɪŋ] (名) 簿記；帳目管理　(動) 進行簿記；記帳
booklet	booklet ['bʊklɪt] (名) 小冊子；小手冊
bookshelf	bookshelf ['bʊkˌʃɛlf] (名) 書架；放書的架子
bookstore	bookstore ['bʊk͵stor] (名) 書店；書籍販售店
boom	boom [bum] (名) 繁榮；景氣　(動) 發出低沉聲音；急速增長
boost	boost ['bust] (動) 促進；增強　(名) 推動；提升
booster	booster ['bustɚ] (名) 助推器；促進劑　(名) 加強注射；強化針
boot	boot [but] (名) 靴子；長靴　(動) 啟動；開機　(動) 踢；踹
booth	booth ['bu̥θ] (名) 攤位；售票亭　(名) 電話亭；投票間
border	border ['bɔrdɚ] (名) 邊界；國境　(動) 與...接壤；圍住
bore	bore ['bor] (動) 使厭煩；讓人感到乏味　(名) 令人厭煩的人或事；鑽孔
bored	bored ['borɪd] (形) 感到厭倦的；感到無聊的
boredom	boredom ['borəm] (名) 無聊；厭倦　(動) 使感到無聊
boring	boring ['borɪŋ] (形) 無聊的；令人厭倦的　(動) 使厭倦；鑽孔
born	born [bɔrn] (形) 天生的；出生的　(動) 出生；誕生
borough	borough ['bɝo] (名) 區；自治市鎮
borrow	borrow ['bɑro] (動) 借用；借入　(動) 向…借錢
borrowing	borrowing ['borəwɪŋ] (名) 借用；借進　(動) 借；借入
bosom	bosom ['bʊzəm] (名) 胸部；懷抱　(形) 親密的；知心的
boss	boss ['bɑs] (名) 老闆；上司　(動) 指揮；領導
bossy	bossy ['bɑsi] (形) 專制的；愛指揮人的　(形) 傲慢的；跋扈的
botanical	botanical [bɑ'tænɪkl] (形) 植物的；植物學的
botany	botany ['bɑtəni] (名) 植物學；植物研究
both	both ['boθ] (代) 兩者；雙方　(形) 兩個的；雙方的
bother	bother ['bɑðɚ] (動) 煩擾；打擾　(名) 麻煩事；討厭的人
bothersome	bothersome ['bɑðɚsəm] (形) 令人厭煩的；麻煩的
bottle	bottle ['bɑtl] (名) 瓶子；玻璃瓶　(動) 裝瓶；把…裝入瓶中
bottom	bottom ['bɑtəm] (名) 底部；最下面　(形) 最低的；底部的
boulder	boulder ['boldɚ] (名) 巨石；大圓石
boulevard	boulevard ['bʊləvɑrd] (名) 林蔭大道；寬闊街道
bounce	bounce ['baʊns] (動) 反彈；彈回　(名) 反彈；彈力
bouncer	bouncer ['baʊnsɚ] (名) 保鏢；夜店保安　(名) 彈跳的東西；反彈物
bound	bound [baʊnd] (形) 受束縛的；受限制的　(動) 跳躍；彈起　(名) 界限；邊界
boundary	boundary ['baʊndəri] (名) 邊界；界線　(名) 界限；範圍
bounding	bounding ['baʊndɪŋ] (形) 跳躍的；快速移動的　(動) 跳躍；彈起
bountiful	bountiful ['baʊntəfəl] (形) 豐富的；充足的　(形) 慷慨的；大方的
bouquet	bouquet [bu'ke] (名) 花束；香氣
bout	bout ['baʊt] (名) 一段時間；輪次　(名) 比賽；對決
boutique	boutique [bu'tik] (名) 精品店；精品屋　(形) 精品的；小型專門的
bow	bow (名) [bo] 弓；鞠躬　(動) [baʊ] 鞠躬；彎曲
bowel	bowel ['baʊəl] (名) 腸；腸道
bowl	bowl ['bol] (名) 碗；盤　(動) 滾球；投球
bowler	bowler ['bolɚ] (名) 保齡球運動員；保齡球　(動) 投出保齡球
bowling	bowling ['bolɪŋ] (名) 保齡球；保齡球運動
box	box [bɑks] (名) 盒子；箱子　(動) 把…裝入盒子；打拳
boxer	boxer ['bɑksɚ] (名) 拳擊手；拳擊運動員　(名) 拳擊犬（一種狗的品種）
boxing	boxing ['bɑksɪŋ] (名) 拳擊；拳擊運動　(動) 進行拳擊
boy	boy [bɔɪ] (名) 男孩；少年　(名) 男人；傢伙
boycott	boycott ['bɑɪkɑt] (動) 抵制；拒買　(名) 抵制行動；拒買運動
boyfriend	boyfriend ['bɔɪfrɛnd] (名) 男朋友；交往的男性朋友
boyhood	boyhood ['bɔɪhʊd] (名) 男孩時期；童年
bra	bra [bræ] (名) 胸罩；內衣
brace	brace ['bres] (名) 牙套；支架　(動) 做好準備；加強
bracelet	bracelet ['bres.lət] (名) 手鐲；手環
bracing	bracing ['bresɪŋ] (形) 令人振奮的；振作人心的　(形) 清新的；涼爽的
bracket	bracket ['brækɪt] (名) 括號；方括號　(名) 支架；架子　(動) 用括號括住；歸類
brackish	brackish ['brækɪʃ] (形) 半鹹的；略帶鹹味的　(形) 令人不快的；令人厭惡的
brag	brag [bræg] (動) 吹牛；自誇　(名) 吹牛；誇耀
braid	braid ['bred] (名) 辮子；編織物　(動) 編；編成辮子
brain	brain [breɪn] (名) 大腦；腦部　(名) 智力；聰慧
brainchild	brainchild ['brenˌtʃaɪld] (名) 創意產物；傑作
brainstorm	brainstorm ['brenˌstɔrm] (名) 腦力激盪；集體討論　(動) 進行腦力激盪；集思廣益
braise	braise ['bre͡ɪz] (動) 用小火和液體燉煮；紅燒
braised	braised [brezd] (動) 燜；用小火長時間燉煮　(形) 經過燜煮的；用小火燉的
brake	brake ['brek] (名) 煞車；制動器　(動) 煞車；減速
bran	bran ['bræn] (名) 麸皮；穀物外殼
branch	branch [brænʃ] (名) 樹枝；分支　(動) 分開；分岔
brand-new	brand-new ['brændˌnjʊ] (形) 全新的；嶄新的　(形) 未使用過的；剛買的
brand	brand ['brænd] (名) 品牌；商標　(動) 給...打上烙印；標記
brandy	brandy ['brændi] (名) 白蘭地；葡萄烈酒
brass	brass ['brɛs] (名) 黃銅；銅製品　(形) 黃銅製的；厚顏無恥的
brassiere	brassiere ['brɛʒɚ] (名) 胸罩；內衣
brave	brave ['breɪv] (形) 勇敢的；英勇的　(動) 勇敢面對；挺身抵抗
bravely	bravely ['brev.əsli] (副) 勇敢地；大膽地
bravery	bravery ['brɛvəri] (名) 勇氣；勇敢
brawl	brawl ['brɔl] (名) 打鬥；爭執　(動) 打架；爭吵
brazen	brazen ['breɪzən] (形) 厚顏無恥的；大膽魯莽的
breach	breach ['brɛtʃ] (名) 違反；破壞　(動) 違反；破壞
bread	bread ['brɛd] (名) 麵包；面包
breadth	breadth ['brɛdθ] (名) 寬度；範圍　(名) 廣度；涵蓋面
break-in	break-in ['brek ɪn] (名) 非法侵入；闖入　(動) 闖入；非法進入
break	break [brek] (動) 打破；弄裂　(動) 休息；暫停　(名) 休息時間；假期
breakable	breakable ['brekəbəl] (形) 易破碎的；易損壞的
breakage	breakage ['brekɪdʒ] (名) 破損；損壞　(名) 破損的東西；碎片
breakdown	breakdown ['brɛkˌdaʊn] (名) 故障；崩潰　(動) 分解；發生故障
breakfast	breakfast ['brɛkfəst] (名) 早餐；早飯
breakthrough	breakthrough ['brɛkθruː] (名) 突破；重大進展　(動) 突破；取得突破性進展
breast	breast ['brɛst] (名) 胸部；乳房　(動) 勇敢面對；克服
breath	breath ['brɛθ] (名) 呼吸；氣息　(動) 呼吸；吐氣
breathe	breathe ['brɛð] (動) 呼吸；吸氣　(動) 輕聲說出；低聲講話
breathing	breathing ['brɛðɪŋ] (名) 呼吸；呼吸作用
breathless	breathless ['brɛθləs] (形) 喘不過氣的；氣喘吁吁的　(形) 令人驚嘆的；驚人的
breathtaking	breathtaking ['brɛθˌtekɪŋ] (形) 令人屏息的；壯觀的　(形) 驚人的；驚奇的
breathtakingly	breathtakingly [brɛθ'tekɪŋli] (副) 令人屏息地；驚人地
breed	breed [brid] (名) 品種；種類　(動) 繁殖；飼養　(動) 引起；導致
breeder	breeder ['bridɚ] (名) 飼養者；繁殖者　(名) 製造者；引發者
breeding	breeding ['bridɪŋ] (名) 繁殖；飼養　(動) 繁殖；培養
breeze	breeze ['briz] (名) 微風；輕風　(動) 輕輕吹過；輕鬆行動
brevity	brevity ['brɛvɪtɪ] (名) 簡潔；言簡意賅
brew	brew [bru] (動) 釀造；沖泡　(名) 釀造物；一杯飲料
brewer	brewer ['bruɚɚ] (名) 釀造者；啤酒製造商
brewery	brewery ['bruːɛri] (名) 啤酒廠；釀造廠
Brexit	Brexit ['brɛgzɪt] (名) 英國脫歐；英國退出歐盟
bribe	bribe ['braɪb] (名) 賄賂；贿金　(動) 贿赂；用賄賂收買
bribery	bribery ['braɪbərɪ] (名) 賄賂；贿赂行为
brick	brick ['brɪk] (名) 磚；磚塊　(名) 磚紅色
bricklayer	bricklayer ['brɪkˌleɚ] (名) 砌磚工；砌磚師傅
bridal	bridal ['braɪdl] (形) 新娘的；婚禮的
bride	bride ['braɪd] (名) 新娘；新婚妻子
bridegroom	bridegroom ['braɪdgrum] (名) 新郎；迎娶者
bridesmaid	bridesmaid ['braɪdzmeɪd] (名) 伴娘；新娘的女性伴禮
bridge	bridge ['brɪdʒ] (名) 橋；橋樑　(動) 架橋；連接
bridle	bridle ['braɪdəl] (名) 馬籠頭；韁繩　(動) 控制；約束
brief	brief ['brɛf] (形) 短暫的；簡短的　(動) 簡述；說明
briefcase	briefcase ['brifkes] (名) 公事包；手提箱
briefing	briefing ['brifɪŋ] (名) 簡報；說明會　(動) 向...作簡報；向...說明
briefly	briefly ['brɪfli] (副) 簡短地；簡要地　(副) 短暫地；一會兒
brigade	brigade ['brɪgəd] (名) 旅；部隊；團隊
bright	bright ['braɪt] (形) 明亮的；聰慧的　(副) 明亮地；聰慧地
brightness	brightness ['braɪtnəs] (名) 亮度；明亮　(名) 聰慧；機智
brilliance	brilliance ['brɪljəns] (名) 才華；聰慧　(名) 光彩；光亮
brilliant	brilliant ['brɪljənt] (形) 聰慧的；傑出的　(形) 耀眼的；光彩的
brim	brim ['brɪm] (名) 邊緣；邊沿　(動) 盛滿；充滿
bring	bring ['brɪŋ] (動) 帶來；拿來　(動) 造成；引起
brink	brink ['brɪŋk] (名) 邊緣；懸崖邊　(形) 瀕臨的；即將發生的
brisk	brisk ['brɪsk] (形) 輕快的；爽快的　(副) 快速地；敏捷地
Britain	Britain ['brɪtn] (名) 英國；不列顛
British	British ['brɪtɪʃ] (形) 英國的；英國人的　(名) 英國人
brittle	brittle ['brɪtəl] (形) 易碎的；脆弱的　(形) 冷淡的；生硬的
broad	broad [brɔd] (形) 寬的；寬廣的　(形) 廣泛的；涵蓋面大的
broadcast	broadcast ['brɔdkæst] (名) 廣播；播送　(動) 廣播；播放
broadcaster	broadcaster ['brɔdkæstɚ] (名) 播送者；廣播公司　(名) 播放裝置；轉播設備
broadcasting	broadcasting ['brɔdkæstɪŋ] (名) 廣播；播放　(動) 廣播的；播放的
broaden	broaden ['brodən] (動) 拓寬；擴大　(動) 使變寬；加寬
broadly	broadly ['brɔdli] (副) 廣泛地；大致上　(副) 粗略地；概括地
broadside	broadside ['brɔdsaɪd] (名) 側面砲火；猛烈批評　(動) 用側面砲火攻擊；猛烈批評
brochure	brochure ['broʃɚ] (名) 宣傳冊；小冊子
broil	broil [brɔɪl] (動) 用高溫烤；炙烤　(動) 受到嚴厲批評
broke	broke [brok] (形) 破的；損壞的　(形) 沒錢的；貧窮的　(動) 打破；中止
broken	broken ['brokən] (形) 破碎的；損壞的　(形) 中斷的；破裂的
broker	broker ['brokɚ] (名) 仲介人；經紀人　(動) 充當仲介；協調
brokerage	brokerage ['broʊkɚɪdʒ] (名) 經紀業；仲介費　(名) 經紀人的工作或佣金
bronze	bronze [brɑnz] (名) 青銅；銅牌　(形) 青銅色的；古銅色的
brooch	brooch ['broʊtʃ] (名) 胸針；別針
brood	brood [brud] (動) 孵蛋；沉思　(名) 一窩蛋；一群幼鳥
brooder	brooder ['brudɚ] (名) 孵蛋器；愛生悶氣的人
brook	brook [brʊk] (名) 小溪；溪流　(動) 容忍；忍受
broom	broom ['brum] (名) 掃帚；掃把　(動) 掃；清掃
broth	broth ['brɔθ] (名) 肉湯；清湯
brother	brother ['brʌðɚ] (名) 哥哥；弟弟　(名) 同志；同伴
brotherhood	brotherhood ['brʌðɚˌhʊd] (名) 兄弟情誼；兄弟會　(名) 同志精神；團結
brow	brow ['braʊ] (名) 眉毛；眉　(名) 山坡頂；山頂
brown	brown ['braʊn] (形) 棕色的；褐色的　(名) 棕色；褐色
brownie	brownie ['braʊni] (名) 巧克力布朗尼蛋糕；女童軍　(形) 褐色的；棕色的
browse	browse ['braʊz] (動) 瀏覽；翻閱　(動) 在網路上搜尋資訊
browser	browser ['braʊzɚ] (名) 瀏覽器；網頁瀏覽軟體　(名) 瀏覽者；閱覽者
bruise	bruise ['brus] (名) 瘀傷；淤青　(動) 使受傷；碰傷　(形) 受傷的；有瘀傷的
bruised	bruised ['brusт] (形) 瘀傷的；被撞傷的　(動) 撞傷；傷害
bruising	bruising ['bruzɪŋ] (形) 瘀傷的；受傷的　(名) 瘀傷；傷痕
brunch	brunch ['brʌntʃ] (名) 早午餐；早午餐時間
brush	brush [brʌʃ] (名) 刷子；筆刷　(動) 刷；掃　(形) 灌木叢生的
brusque	brusque ['brʌsk] (形) 粗魯的；唐突的　(形) 生硬的；不客氣的
brutal	brutal ['brutəl] (形) 殘忍的；野蠻的　(形) 嚴酷的；無情的
brutally	brutally ['brutəlɪ] (副) 殘忍地；冷酷地　無情地；粗暴地
brute	brute ['bru:t] (形) 野蠻的；殘暴的　(名) 野蠻人；畜生
bubble	bubble ['bʌbəl] (名) 泡泡；氣泡　(動) 起泡；冒泡
buck	buck [bʌk] (名) 美元；金錢　(動) 違抗；反抗
bucket	bucket ['bʌkɪt] (名) 桶；水桶　(名) 桶的容量
buckle	buckle ['bʌkəl] (名) 扣環；皮帶扣　(動) 扣上；彎曲　(形) 彎曲的；扭曲的
buckwheat	buckwheat ['bʌkwɛt] (名) 蕎麥；蕎麥粉
bud	bud ['bʌd] (名) 花蕾；芽　(動) 發芽；萌發
buddha	buddha ['budə] (名) 佛陀；佛祖　(名) 佛像；佛的雕像
Buddhism	Buddhism ['budɪzəm] (名) 佛教；佛教信仰
Buddhist	Buddhist ['budɪst] (名) 佛教徒；信仰佛教的人　(形) 佛教的；與佛教有關的
budge	budge ['bʌdʒ] (動) 移動；改變立場
budget	budget ['bʌdʒɛt] (名) 預算；預算案　(動) 編列預算；規劃開支
buff	buff [bʌf] (形) 強壯的；肌肉發達的　(動) 擦亮；磨光
buffalo	buffalo ['bʊfəlo] (名) 水牛；美洲野牛
buffer	buffer ['bʌfɚ] (名) 緩衝物；緩衝區　(動) 緩衝；保護
buffet	buffet ['bʌfe] (名) 自助餐；自助餐廳　(動) 用拳頭連打；打擊
buffoon	buffoon ['bufun] (名) 小丑；愚蠢的人　(形) 愚蠢的；可笑的
bug	bug [bʌg] (名) 蟲；臭蟲　(名) 程式錯誤；缺陷　(動) 煩擾；打擾
buggy	buggy ['bʌɡi] (形) 有故障的；出毛病的　(名) 嬰兒車；手推車
build	build ['bɪld] (動) 建造；建設　(動) 發展；增強
building	building ['bɪldɪŋ] (名) 建築物；大樓　(動) 建造；搭建
buildup	buildup ['bɪldˌʌp] (名) 累積；增加　(動) 逐漸增加；堆積
built-in	built-in ['bɪlt ɪn] (形) 內置的；嵌入的　(形) 固有的；天生的
bulb	bulb ['bʌlb] (名) 燈泡；球莖
bulge	bulge ['bʌldʒ] (名) 鼓起；凸起　(動) 鼓起；膨脹
bulk	bulk ['bʌlk] (名) 大量；主體　(形) 大宗的；散裝的
bulky	bulky ['bʌlki] (形) 體積大的；笨重的　(形) 龐大的；容易佔空間的
bull	bull ['bʊl] (名) 公牛；牡牛　(名) 股市上升；樂觀投資者　(動) 蠻力推進；橫衝直撞
bullet	bullet ['bulɪt] (名) 子彈；槍彈　(名) 要點；項目符號
bulletin	bulletin ['bʊlətɪn] (名) 公告；簡訊　(名) 期刊；通訊
bulletproof	bulletproof ['bulɪtˌpruf] (形) 防彈的；不易被擊敗的
bullpen	bullpen ['bʊlˌpɛn] (名) 牛棚；後備投手區　(名) 後備隊員；替補選手
bully	bully ['bʊli] (動) 欺凌；霸凌　(名) 霸凌者；惡棍
bummer	bummer ['bʌmɚ] (名) 令人失望的事；掃興的事　(感) 真糟糕；真倒霉
bump	bump ['bʌmp] (名) 碰撞；腫塊　(動) 碰撞；撞擊　(形) 崎嶇不平的
bumper	bumper ['bʌmpɚ] (名) 保險桿；緩衝器　(形) 很大的；豐收的
bumpy	bumpy ['bʌmpi] (形) 崎嶇不平的；顛簸的
bun	bun ['bʌn] (名) 麵包；小圓麵包　(名) 髮髻；髮束
bunch	bunch [bʌntʃ] (名) 束；群；一堆　(動) 聚集；束在一起
bund	bund ['bʌnd] (名) 堤岸；防波堤　(名) 上海外灘
bundle	bundle ['bʌndəl] (名) 束；包裹　(動) 捆紮；匆匆推動
bungle	bungle ['bʌŋgl̩] (動) 搞砸；弄糟　(名) 失敗；笨拙的行為
bunk	bunk [bʌŋk] (名) 鋪位；床　(動) 翹課；逃避　(形) 假的；不真實的
bunker	bunker ['bʌŋkɚ] (名) 掩體；地下防禦工事　(名) 沙坑（高爾夫球）
buoy	buoy ['bɔɪ] (名) 浮標；浮筒　(動) 使浮起；支撑
buoyant	buoyant ['bɔɪənt] (形) 樂觀的；充滿希望的　(形) 能浮起的；輕飄飄的
burden	burden ['bɝdn] (名) 負擔；重擔　(動) 使負擔；使承受
burdensome	burdensome ['bɝdn səm] (形) 沉重的；令人厭煩的　(形) 困擾的；麻煩的
bure	bure [bjur] (動) 埋葬；掩埋　(名) 埋葬；墓地
bureau	bureau ['bjurо] (名) 局；部門；辦公室
bureaucracy	bureaucracy [bjuɚ'ɑkrəsi] (名) 官僚體制；官樣文章　(名) 繁瑣的行政程序
bureaucrat	bureaucrat ['bjʊrəkræt] (名) 官僚；公務員　(形) 官僚的；繁瑣的
bureaucratic	bureaucratic [bjʊ'rɑkrætɪk] (形) 官僚的；充滿繁文縟禮的
burgeon	burgeon ['bɝdʒən] (動) 迅速成長；蓬勃發展　(名) 新芽；幼苗
burger	burger ['bɝgɚ] (名) 漢堡；漢堡包
