id,word,moe_level,kk_phonetics,definition_zh,example_sentence,sentence_zh,cefr_level,grammar_pattern,word_count,subject_type,source,reviewed,notes
3384,cybermob,,'saɪbɚˌmɑb,(名) 網路暴民；線上集體騷擾,The cybermob that attacked the celebrity's social media account spread harmful rumors.,攻擊這位明星社群媒體帳號的網路暴民散播了有害謠言。,B1,adj_clause,12,noun,Claude AI,,
3385,cycle,2,'saɪkəl,(名) 循環；週期　(動) 騎自行車；循環,"If students cycle to school regularly, they will improve their physical fitness and reduce carbon emissions.",如果學生定期騎自行車上學，他們將會改善體能並減少碳排放。,B1,conditional_1,13,noun (students),Claude AI,,
3386,cyclist,,'saɪklɪst,(名) 騎自行車的人；單車騎士,The cyclist rode along the scenic coastal road every weekend.,那位單車騎士每個週末都沿著風景優美的海濱道路騎車。,A2,simple,11,noun,Claude AI,,
3387,cylinder,,'sɪlɪndɚ,(名) 圓筒；圓柱；汽缸,Engineers designed a metal cylinder to store compressed gas safely.,工程師設計了一個金屬圓筒來安全地儲存壓縮氣體。,B1,infinitive_purpose,11,noun,Claude AI,,
3388,cylindrical,,sɪl'ɪndrɪkəl,(形) 圓筒形的；圓柱形的,The cylindrical shape of the water bottle makes it easy to hold and carry.,水瓶的圓筒形設計使其易於握持和攜帶。,B1,compound,12,object,Claude AI,,
3389,cynical,6,'sɪnɪkəl,(形) 憤世嫉俗的；懷疑的；冷嘲熱諷的,"Although the campaign promised positive change, cynical voters dismissed the promises as empty rhetoric.",雖然這場運動承諾帶來正面改變，但憤世嫉俗的投票者將承諾視為空洞的言辭。,B1,adv_clause,12,noun (voters),Claude AI,,
3390,dachshund,,'dɑkʃənt,(名) 臘腸犬；短腿獵犬,"Having adopted a dachshund from the shelter, Maria now takes daily walks with her energetic new companion.",瑪莉亞從收容所領養了一隻臘腸犬後，現在每天都和這隻充滿活力的新伴侶一起散步。,B1,participial_perf,12,noun_proper,Claude AI,,
3391,dad,,'dæd,(名) 爸爸；父親,"My dad, who works as an engineer, always helps me with my math homework.",我的爸爸是工程師，他經常幫我做數學功課。,A1,adj_clause,13,possessive_noun_phrase,Claude AI,,
3392,daffodil,,'dæfədɪl,(名) 水仙花；黃水仙,Golden daffodils bloom in spring gardens across Taiwan every March.,金黃色的水仙花每年三月在台灣各地的春季花園裡綻放。,A2,compound,11,noun,Claude AI,,
3393,daily,2,'delɪ,(形) 每天的；日常的　(副) 每天；日常地,"If students reviewed their notes daily, their test scores would improve significantly.",如果學生每天複習筆記，他們的考試成績會大幅進步。,A2,conditional_2,11,noun (students),Claude AI,,
3394,dainty,,'dentɪ,(形) 精緻的；優雅的；嬌小的,The dainty teacups displayed in the museum impressed many visitors.,博物館展示的精緻茶杯給許多遊客留下深刻印象。,B1,simple,11,noun (teacups),Claude AI,,
3395,dairy,3,'dɛrɪ,(名) 乳製品；牛奶製品　(形) 含乳製品的；與乳製品有關的,"Containing dairy products, the breakfast menu offers milk, cheese, and yogurt choices.",包含乳製品，早餐菜單提供牛奶、起司和優格的選擇。,B1,participial,12,noun (menu),Claude AI,,
3396,dam,3,'dæm,(名) 水壩；大壩　(動) 築壩；堵住,"Although the dam was built to prevent flooding, it actually changed the river's ecosystem.",雖然水壩是為了防止洪水而建造的，但它實際上改變了河流的生態系統。,A2,adv_clause,12,noun (the dam),Claude AI,,
3397,damage,2,'dæmɪdʒ,(名) 損害；損傷　(動) 損害；毀損,Seldom does careless driving cause less damage to vehicles and lives.,粗心駕駛很少不對車輛和生命造成傷害。,B1,inversion,11,gerund,Claude AI,,
3398,damaged,,'dæmɪdʒd,(形) 受損的；破損的；受傷的,The smartphone that fell on the floor was so damaged that nobody wanted to buy it.,掉到地板上的智慧型手機損傷得非常嚴重，沒有人想購買。,A2,adj_clause,14,noun,Claude AI,,
3399,damaging,,'dæmɪdʒɪŋ,(形) 有害的；造成損害的　(動) 損害；破壞,Smoking is damaging to reduce lung disease risk in teenagers.,抽菸是有害的，會降低青少年減少肺病風險的機會。,B1,infinitive_purpose,10,gerund,Claude AI,,
3400,dame,,'dem,(名) 夫人；女士；棋盤上的王后,The elderly dame managed the historic mansion with remarkable grace and dignity.,這位年長的夫人以非凡的優雅和尊嚴管理著這座歷史悠久的莊園。,A2,compound,12,noun_phrase,Claude AI,,
3401,damn,,'dæm,(動) 詛咒；該死　(形) 該死的；討厭的,Damn! I forgot my phone at home this morning.,該死！我今早把手機忘在家裡了。,A2,simple,9,exclamation,Claude AI,,
3402,damned,,dæmd,(形) 該死的；討厭的　(副) 非常地；極其地,"Damned as the homework was, students completed it before the deadline.",儘管作業令人厭煩，學生們仍在截止日期前完成了它。,B1,adv_clause,11,noun,Claude AI,,
3403,damp down,,,(片) 降低；減弱；抑制,"Dampening the team's initial excitement, the coach warned them about overconfidence before the finals.",教練在決賽前抑制了隊伍的初期興奮，警告他們不要過度自信。,B1,participial,13,noun,Claude AI,,
3404,damp off,,,(片) 使植物腐爛；使種子枯死,Seedlings that damp off because of excessive moisture require immediate drainage.,因過多水分而腐爛的幼苗需要立即排水。,B1,adj_clause,11,seedlings,Claude AI,,
3405,damp,4,'dæmp,(形) 潮濕的；微溼的　(動) 使潮濕；抑制,"If the basement remains damp, mold will grow and damage the stored books.",如果地下室保持潮濕，黴菌就會生長並損壞存放的書籍。,B1,conditional_1,12,noun,Claude AI,,
3406,dampen,,'dæmpən,(動) 減弱；抑制；弄濕,Heavy rain dampened the students' enthusiasm for the outdoor sports day.,大雨澆熄了學生對戶外運動會的熱情。,B1,simple,12,noun,Claude AI,,
3407,damper,,'dæmpɚ,(名) 減振器；阻尼器；使氣氛冷淡的人或事,The car's suspension uses a damper to reduce vibration and improve ride comfort.,汽車的懸吊系統使用減振器來減少震動並改善乘坐舒適度。,B1,infinitive_purpose,11,noun,Claude AI,,
3408,dampness,,'dæmpnɪs,(名) 潮濕；濕度；潮濕的狀態,The dampness in the basement caused mold and an unpleasant smell to develop.,地下室的潮濕導致黴菌生長和令人不快的氣味產生。,B1,compound,12,noun,Claude AI,,
3409,dance,1,'dæns,(動) 跳舞；舞動　(名) 舞蹈；舞會,"While the music played loudly, students danced together at the school festival happily.",當音樂大聲播放時，學生們在校慶活動上開心地一起跳舞。,A2,adv_clause,12,noun (students),Claude AI,,
3410,dancer,2,'dænsɚ,(名) 舞者；舞蹈家；跳舞的人,"Having trained for years, the dancer performed a stunning solo at the national competition.",經過多年訓練，這位舞者在全國比賽中表演了一場精彩的獨舞。,A2,participial_perf,13,noun,Claude AI,,
3411,dancing,,'dænsɪŋ,(名) 舞蹈；跳舞　(形) 跳舞的；搖晃的,The dancing performance that the students prepared for the school festival impressed everyone greatly.,學生們為校慶準備的舞蹈表演給所有人留下深刻印象。,A2,adj_clause,12,noun,Claude AI,,
3412,dandruff,,'dændrʌf,(名) 頭皮屑；頭皮脫屑,Regular shampooing helps remove dandruff and keeps the scalp healthy.,定期洗頭有助於去除頭皮屑並保持頭皮健康。,A2,compound,11,noun,Claude AI,,
3413,danger,2,'dɛndʒɚ,(名) 危險；危害　(動) 使處於危險中,"If students ignored traffic rules, they would face serious danger on their way to school.",如果學生忽視交通規則，他們上學途中就會面臨嚴重的危險。,A2,conditional_2,12,noun (students),Claude AI,,
3414,dangerous,1,'dendʒɚəs,(形) 危險的；有危害的；易出事故的,Swimming in rough ocean waters during a typhoon is very dangerous.,在颱風期間在洶湧的海水中游泳非常危險。,A2,simple,10,activity/gerund,Claude AI,,
3415,dank,,'dæŋk,(形) 潮濕陰冷的；悶濕的,"Finding the basement damp and dank, the students decided to hold their club meeting elsewhere.",發現地下室潮濕陰冷，學生們決定在別處舉行俱樂部會議。,B1,participial,13,noun (the basement),Claude AI,,
3416,dare,3,'dɛr,(動) 敢；膽敢　(名) 挑戰；賭注,"Although the exam was difficult, many students dared to attempt the challenging questions.",雖然考試很難，許多學生仍敢嘗試那些有挑戰性的題目。,A2,adv_clause,13,noun (students),Claude AI,,
3417,daring,,'dɛrɪŋ,(形) 勇敢的；大膽的　(名) 膽量；大膽行為,Never before has such daring innovation transformed the entire technology industry.,從未有過如此大膽的創新改變了整個科技產業。,B1,inversion,11,abstraction_noun,Claude AI,,
3418,dark,1,dark,(形) 黑暗的；暗的；深色的,The abandoned building that stands in the dark corner frightens many local residents.,那棟位在黑暗角落的廢棄建築嚇到許多當地居民。,A2,adj_clause,12,noun,Claude AI,,
3419,darken,,'dɑrkən,(動) 變暗；使變黑；加深,Maya closed the curtains to darken the bedroom before taking a nap.,Maya 關上窗簾來使臥室變暗，然後午睡。,B1,infinitive_purpose,11,proper_noun,Claude AI,,
3420,darling,3,'dɑrlɪŋ,(名) 親愛的人；寶貝　(形) 親愛的；心愛的,My darling sister surprised me with a handmade birthday cake yesterday afternoon.,我親愛的姐姐昨天下午用自製蛋糕給我驚喜。,A2,compound,11,noun + adjective modifier,Claude AI,,
3421,dart,,dɑrt,(名) 飛鏢；箭　(動) 快速移動；衝向,The athlete threw the dart at the board with great precision.,運動員非常精準地將飛鏢投向靶板。,A2,simple,10,noun,Claude AI,,
3422,dash off,,,(片) 匆匆完成；趕快寫；做,"Before the exam started, Maria dashed off a quick email to her friend about the study plan.",考試開始前，瑪麗亞匆匆寫了一封電子郵件給朋友，說明讀書計畫。,B1,adv_clause,13,proper_noun,Claude AI,,
3423,dash,3,dæʃ,(動) 衝刺；急跑　(名) 短跑；衝刺,"Dashing across the field, the soccer player scored an amazing goal.",那位足球選手衝過球場，進了一個令人驚嘆的球。,B1,participial,12,noun (the soccer player),Claude AI,,
3424,dashboard,,'dæʃbɔrd,(名) 儀表板；控制面板,"The car's dashboard, which displays speed and fuel information, helps drivers monitor vehicle performance.",汽車的儀表板會顯示速度和燃油資訊，可以幫助駕駛監控車輛狀況。,A2,adj_clause,13,noun,Claude AI,,
3425,data,2,'dætə,(名) 數據；資料；信息,"If students collect accurate data from their experiments, the research project will produce reliable conclusions.",如果學生從實驗中收集準確的數據，這個研究項目就會得出可靠的結論。,B1,conditional_1,13,noun (students),Claude AI,,
3426,database,3,'detəbɛs,(名) 資料庫；數據庫,The school database stores all student records and grades.,學校的資料庫儲存所有學生的紀錄和成績。,A2,simple,11,noun,Claude AI,,
3427,date back,,,(片) 追溯到；起源於,Historians use ancient coins to date back the city's founding to 2000 years ago.,歷史學家利用古代硬幣來追溯這座城市的建立時間至2000年前。,B1,infinitive_purpose,12,noun,Claude AI,,
3428,date,1,det,(名) 約會；日期　(動) 與…約會；標明日期,My older sister has a dinner date with her boyfriend next Friday evening.,我姐姐下個星期五晚上要和男朋友一起吃晚餐約會。,A2,compound,11,noun phrase,Claude AI,,
3429,daughter,1,'dɔtɚ,(名) 女兒；千金,"Although her daughter was nervous, she performed beautifully at the school concert.",雖然她的女兒很緊張，但她在校園音樂會上表現得很漂亮。,A2,adv_clause,12,noun (her daughter),Claude AI,,
3430,daunt,,'dɔnt,(動) 使害怕；使氣餒　(名) 令人害怕的事,"Daunted by the difficult math problem, the student asked the teacher for help.",被那道難的數學題嚇到，這個學生向老師求助。,B1,participial_perf,12,noun,Claude AI,,
3431,daunting,,'dɔntɪŋ,(形) 令人畏懼的；艱鉅的,"The entrance exam, which seems daunting to many students, requires months of preparation.",這場入學考試看起來令人畏懼，需要許多學生準備好幾個月。,B1,adj_clause,13,noun,Claude AI,,
3432,dauntless,,'dɔntləs,(形) 無畏的；勇敢的；不懼怕的,The dauntless firefighters rushed into the burning building to rescue trapped residents.,這些無畏的消防隊員衝進燃燒的建築物中救出被困的居民。,B1,compound,12,noun (firefighters),Claude AI,,
3433,dauntlessly,,'dɔntlɪslɪ,(副) 勇敢地；無畏地；堅定地,"If the team faced that powerful opponent dauntlessly, winning the championship would become possible.",如果隊伍勇敢地面對那個強大的對手，贏得冠軍就會成為可能。,B1,conditional_2,12,noun (team),Claude AI,,
3434,dawn on,,,(片) 突然想起；豁然開朗,"After the teacher's explanation, understanding finally dawned on the confused students.",在老師的解釋後，理解最終豁然開朗了那些困惑的學生。,B1,simple,11,noun_subject,Claude AI,,
3435,dawn,3,'dɔn,(名) 黎明；清晨　(動) 開始；破曉,"Waking at dawn, the hikers began their journey up the mountain.",登山者在黎明時分醒來，開始攀登山頂的旅程。,B1,participial,11,noun (hikers),Claude AI,,
3436,day-to-day,,ˌde-tu-'de,(形) 日常的；每日的,"As students manage day-to-day homework and exams, balancing sleep becomes increasingly important.",當學生處理日常功課和考試時，保持充足睡眠變得越來越重要。,B1,adv_clause,12,noun (students),Claude AI,,
3437,day,1,de,(名) 日子；天；白天,Only after that day did the students realize the importance of hard work.,只有在那一天之後，學生們才意識到努力工作的重要性。,B1,inversion,12,noun,Claude AI,,
3438,daybreak,,'deˌbrek,(名) 黎明；破曉；開始,"The hikers reached the mountain peak at daybreak, which was when the sun first appeared.",登山者在黎明時到達山頂，那是太陽首次出現的時刻。,A2,adj_clause,13,noun,Claude AI,,
3439,daylight,,'deˌlaɪt,(名) 日光；白天的光線；白天,Students wake up early to catch daylight and study before school.,學生早起為了趕上日光，在上學前讀書。,A2,infinitive_purpose,11,noun,Claude AI,,
3440,daze,,dez,(動) 使目眩；使昏迷　(名) 昏迷；目眩狀態,"The bright flash of light left him in a daze, stumbling forward without clear direction.",那道明亮的閃光使他目眩，他踉蹌地向前走，沒有清晰的方向感。,B1,compound,13,noun,Claude AI,,
3441,dazedly,,'dezɪdlɪ,(副) 茫然地；困惑地；無神地,"After the long exam, students walked out of the classroom dazedly, barely remembering what they had written.",長考試結束後，學生們茫然地走出教室，幾乎記不得自己寫了什麼。,A2,simple,12,noun,Claude AI,,
3442,dazzle,6,'dæzəl,(動) 使眼花繚亂；使驚豔　(名) 耀眼的光芒；令人驚豔的表現,"As the stage lights dazzled the audience, the dancer performed with such grace that everyone held their breath.",當舞台燈光使觀眾眼花繚亂時，舞者以優雅的姿態表演，令所有人屏住呼吸。,B1,adv_clause,19,stage lights / dancer (noun phrases),Claude AI,,
3443,dazzling,,'dæzlɪŋ,(形) 耀眼的；令人目眩的；傑出的,"Shining brightly under the stage lights, the performer's dazzling costume captured everyone's attention.",在舞台燈光下閃閃發光，表演者那套耀眼的服裝吸引了所有人的注意。,B1,participial,13,noun,Claude AI,,
3444,dead,1,'dɛd,(形) 死的；無生命的；完全的,The old tree that stood in the school garden for decades finally became dead last winter.,那棵在校園裡屹立數十年的老樹，終於在去年冬天完全枯死了。,A1,adj_clause,13,noun,Claude AI,,
3445,deadline,4,'dɛdlaɪn,(名) 截止日期；期限；最後期限,"If students miss the deadline for the project, they will receive a lower grade.",如果學生錯過專案的截止日期，他們將獲得較低的分數。,B1,conditional_1,13,noun_phrase,Claude AI,,
3446,deadlock,,'dɛdlɑk,(名) 僵局；停滯　(動) 使陷入僵局,The two companies reached a deadlock in their salary negotiations.,這兩家公司在薪資談判上陷入了僵局。,B1,simple,10,noun,Claude AI,,
3447,deadly,5,'dɛdlɪ,(形) 致命的；極度危險的　(副) 極其；非常,Doctors use antibiotics to treat deadly infections before they become serious.,醫生使用抗生素來治療致命感染，以防其變得嚴重。,B1,infinitive_purpose,13,noun,Claude AI,,
3448,deadpan,,'dɛdpæn,(形) 面無表情的；毫無感情的　(副) 用毫無表情的方式,"The comedian told jokes with a deadpan expression, making the audience unsure whether to laugh.",那位喜劇演員面無表情地講笑話，讓觀眾不確定是否應該笑。,B1,compound,13,noun (comedian),Claude AI,,
3449,deaf,2,'dɛf,(形) 聾的；耳聾的；不願聽的,"Although the old musician was deaf, he could still feel the vibrations of the piano.",雖然那位老音樂家已經聾了，他仍然能感受到鋼琴的振動。,A2,adv_clause,13,noun,Claude AI,,
3450,deafen,6,'dɛfən,(動) 使聾；震得耳聾；使聽不見,"Deafened by the roaring engine, the mechanic struggled to hear his coworker's warning.",被引擎怒吼聲震得耳聾，那位機械師很難聽到同事的警告。,B1-B2,participial_perf,11,noun_agent,Claude AI,,
3451,deal in,,,(片) 經營；買賣；涉及,The company that deals in electronics has expanded its online sales significantly this year.,那家經營電子產品的公司今年大幅擴展了線上銷售。,B1,adj_clause,13,noun,Claude AI,,
3452,deal with,,,(片) 處理；應付；與…相處,Learning to deal with stress and pressure is essential for exam success.,學會處理壓力對考試成功至關重要。,A2,compound,12,gerund,Claude AI,,
3453,deal,1,dil,(名) 交易；協議；待遇　(動) 處理；分配,"If students made a deal with their parents about homework time, conflicts would decrease significantly.",如果學生與父母達成關於做功課時間的協議，衝突會大幅減少。,A2,conditional_2,12,noun (students),Claude AI,,
3454,dealer,3,'dilɚ,(名) 經銷商；販賣者；發牌人,The car dealer offered a special discount to attract more customers.,汽車經銷商提供特別折扣來吸引更多顧客。,A2,simple,10,noun,Claude AI,,
3455,dealership,,'dilɚʃɪp,(名) 經銷商；代理商；代理店,"Visiting the car dealership to check out new models, Sarah found a vehicle matching her budget perfectly.",莎拉到汽車經銷商展間查看新車型，找到了一輛完全符合她預算的車。,B1,participial,13,noun (Sarah),Claude AI,,
3456,dealing,,'dilɪŋ,(名) 交易；買賣；分配　(動) 處理；對付,"While dealing with exam stress, many students find that regular exercise helps them stay focused.",當學生在處理考試壓力時，許多人發現定期運動有助於他們保持專注。,A2,adv_clause,12,noun (students),Claude AI,,
3457,dean,,'din,(名) 學院院長；系主任,Only after the dean approved the new curriculum did the school implement the changes.,只有在院長批准新課程後，學校才實施了這些改變。,B1,inversion,12,noun (dean),Claude AI,,
3458,dear,1,'dɪr,(形) 親愛的；寶貴的　(名) 親愛的人；親人,"The teacher, dear to every student's heart, retired after forty years.",那位受到每個學生深愛的老師在教了四十年後退休了。,A2,adj_clause,12,noun,Claude AI,,
3459,dearth,,'dɝθ,(名) 缺乏；短缺；不足量,Universities need more funding to address the dearth of science teachers in rural schools.,大學需要更多資金來解決鄉村地區科學教師短缺的問題。,B1,infinitive_purpose,13,noun,Claude AI,,
3460,death,1,'dɛθ,(名) 死亡；死；死者,The death of a loved one brings deep sorrow and lasting memories to the family.,摯愛的人的死亡為家人帶來深深的哀傷和永久的回憶。,A2,compound,12,noun_phrase,Claude AI,,
3461,debacle,,dɪ'bækəl,(名) 慘敗；災難；混亂,The team's debacle in the championship game disappointed fans across the country.,該隊在錦標賽中的慘敗令全國球迷失望。,B1,simple,12,noun (team's debacle),Claude AI,,
3462,debasement,,dɪ'besmənt,(名) 貶低；降低身份；貨幣貶值,"As the politician continued spreading false information, the debasement of public trust became increasingly evident to voters.",當政客持續散布虛假訊息時，公眾信任的貶低對選民變得愈來愈明顯。,B1,adv_clause,12,noun (politician),Claude AI,,
3463,debatable,,dɪ'betəbəl,(形) 可辯論的；有爭議的；值得討論的,"Debatable as the claim may be, many students question its scientific accuracy.",雖然這個說法有爭議，但許多學生質疑其科學準確性。,B1,participial,11,noun (claim),Claude AI,,
3464,debate,2,dɪ'bet,(名) 辯論；討論　(動) 辯論；爭論,The environmental issue that students debated in class raised important questions.,學生在課堂上辯論的環境議題引發了重要的問題。,A2,adj_clause,12,noun (issue),Claude AI,,
3465,debauch,,dɪ'bɔtʃ,(動) 縱慾；放蕩　(名) 縱慾；狂歡,"If students debauch themselves with excessive partying, their academic performance will suffer greatly.",如果學生沉溺於過度派對狂歡，他們的學業表現會大幅下滑。,B1,conditional_1,13,noun,Claude AI,,
3466,debilitate,,dɪ'bɪləˌtet,(動) 削弱；使虛弱,Lack of exercise and poor nutrition debilitate the body over time.,缺乏運動和營養不良會逐漸削弱身體。,B1,simple,10,noun (abstract),Claude AI,,
3467,debris,5,'dɛbrɪ,(名) 碎片；殘骸；廢墟,Rescue teams cleared debris to find survivors after the earthquake.,救援隊清除碎片以便在地震後尋找倖存者。,B1,infinitive_purpose,11,noun,Claude AI,,
3468,debt,2,'dɛt,(名) 債務；欠債　(動) 欠債；負債,Paying off student loans and credit card debt requires careful budget planning.,償還學生貸款和信用卡債務需要仔細的預算規劃。,A2,compound,11,gerund,Claude AI,,
3469,debunk,,dɪ'bʌŋk,(動) 揭露謊言；駁斥；證明...為假,"After scientists debunked the false claim, the public finally understood the truth about climate change.",在科學家駁斥了那個錯誤的說法之後，大眾終於理解了氣候變遷的真相。,B1,adv_clause,13,noun_phrase,Claude AI,,
3470,debut,5,dɪ'bju,(名) 首次演出；初次登場　(動) 首次出現；初次表演,"Having debuted on the music stage last year, the young singer performed at three major concerts.",去年首次登台後，這位年輕歌手在三場重要演唱會上表演。,B1,participial_perf,12,noun_phrase,Claude AI,,
3471,decade,3,'dɛked,(名) 十年；十個,The 1990s was a decade during which technology rapidly changed society.,1990年代是一個科技快速改變社會的十年。,A2,adj_clause,12,noun,Claude AI,,
3472,decaffeinated,,dɪ'kæfɪnetɪd,(形) 去咖啡因的；無咖啡因的,Many coffee lovers choose decaffeinated coffee in the evening to avoid sleep problems.,許多咖啡愛好者在晚上選擇無咖啡因咖啡以避免睡眠問題。,B1,compound,12,noun_phrase,Claude AI,,
3473,decay,5,dɪ'ke,(動) 腐爛；腐蝕；衰退　(名) 腐爛；衰退,"If dental hygiene were ignored, teeth would decay and cause serious health problems.",如果忽視牙齒衛生，牙齒就會腐爛並造成嚴重的健康問題。,B1,conditional_2,12,noun_phrase,Claude AI,,
3474,decayed,,dɪ'ked,(形) 腐爛的；已衰退的　(動) 腐爛；衰退,The decayed building stood abandoned for many years.,那棟腐爛破損的建築物已廢棄多年。,B1,simple,8,noun,Claude AI,,
3475,decease,,dɪ'sɛs,(動) 去世；死亡　(名) 死亡；死亡事件,"Having deceased last month, the elderly professor left behind numerous published works and devoted students.",已於上月去世的年邁教授留下了許多已發表的著作和忠誠的學生。,B1,participial,12,noun (the elderly professor),Claude AI,,
3476,deceased,,dɪ'sɪst,(形) 已故的；死亡的　(名) 已故者；死者,"Although the deceased grandfather had passed away ten years ago, his family still remembered his kindness.",雖然已故的祖父已於十年前去世，他的家人仍然記得他的善良。,B1,adv_clause,12,noun (grandfather),Claude AI,,
3478,deceitful,,dɪ'sɛtfəl,(形) 欺騙的；不誠實的；狡詐的,The deceitful politician who promised lower taxes lost the election.,那位承諾降低稅收的欺騙性政治人物在選舉中落選了。,B1,adj_clause,12,noun,Claude AI,,
3479,deceitfully,,dɪ'sitfəlɪ,(副) 欺騙地；不誠實地,The salesman spoke deceitfully to persuade customers to buy the product.,那名銷售員不誠實地說話，目的是說服顧客購買該產品。,B1,infinitive_purpose,12,noun,Claude AI,,
3480,deceive,5,dɪ'siv,(動) 欺騙；迷惑　(名) 欺騙；詐騙,Dishonest salespeople often deceive customers by hiding product defects.,不誠實的業務員常藉由隱瞞產品缺陷來欺騙顧客。,B1,compound,11,noun (salespeople/customers),Claude AI,,
3481,December,,dɪ'sɛmbɚ,(名) 十二月；冬季最後一個月,December is the coldest month in Taiwan for most students.,十二月是台灣大多數學生最冷的月份。,A1,simple,12,noun,Claude AI,,
3482,decent,5,'dɛsənt,(形) 令人滿意的；不錯的；得體的,"Although the restaurant's service was decent, the food quality didn't quite meet expectations.",雖然餐廳的服務還不錯，但食物品質沒有達到預期。,A2,adv_clause,12,noun,Claude AI,,
3483,decently,5,'dɛsəntlɪ,(副) 適當地；得體地；相當地,"Having prepared thoroughly for the interview, the candidate answered questions decently and impressed the hiring manager.",經過充分準備面試，那位候選人回答問題得體，給招聘經理留下深刻印象。,B1,participial,13,noun,Claude AI,,
3484,deceptive,,dɪ'sɛptɪv,(形) 欺騙的；具有迷惑性的；外表騙人的,"The advertisement that promised quick weight loss proved deceptive, misleading many consumers.",那則承諾快速減肥的廣告被證實具有欺騙性，誤導了許多消費者。,B1,adj_clause,12,noun,Claude AI,,
3485,decide on,,,(片) 決定；確定　選擇；決意,"If students decide on a university major early, they will have more time to prepare.",如果學生早早決定大學主修科系，他們會有更多時間準備。,B1,conditional_1,14,noun,Claude AI,,
3486,decide,1,dɪ'saɪd,(動) 決定；決心；判決,Sarah decided to study medicine after discussing her future with her parents.,莎拉與父母談論未來後，決定要讀醫學系。,A2,simple,12,proper noun (Sarah),Claude AI,,
3487,decidedly,,dɪ'saɪdɪdlɪ,(副) 明確地；堅定地　決然地；毫無疑問地,The company decided to hire more engineers to improve its product quality decidedly.,該公司決定僱用更多工程師以明確改善其產品品質。,B1,infinitive_purpose,11,noun (company),Claude AI,,
3488,decimal,,'dɛsəməl,(名) 小數；十進制　(形) 小數的；十進位的,Converting a fraction to a decimal form makes calculation easier for most students.,將分數轉換成小數形式讓大多數學生更容易進行計算。,A2,compound,11,noun,Claude AI,,
3489,decimate,,'dɛsəmət,(動) 大幅減少；摧毀；使損失慘重,"Because the hurricane decimated the coastal villages, aid organizations rushed to provide emergency supplies.",因為颶風使沿海村莊遭受巨大破壞，援助機構緊急提供救濟物資。,B1,adv_clause,14,"noun (hurricane, aid organizations)",Claude AI,,
3490,decipherable,,dɪ'saɪfɚəbl,(形) 可以破譯的；可以理解的,"Having studied the ancient manuscript for months, the linguist finally found the text decipherable and revealed its hidden meaning.",經過數月研究古代手稿，這位語言學家終於發現文本可以破譯，並揭露了隱藏的含義。,B1,participial_perf,14,noun,Claude AI,,
3491,decision-making,,dɪˌsɪʒən'mekɪŋ,(名) 決策；做決定；判斷力,The decision-making process that affects student futures requires careful thought.,影響學生未來的決策過程需要謹慎思考。,B1,adj_clause,12,noun,Claude AI,,
3492,decision,2,dɪ'sɪʒən,(名) 決定；決策；判決,Making a final decision about which university to attend requires careful consideration.,對於要進哪所大學做出最終決定需要仔細考慮。,A2,compound,12,gerund_subject,Claude AI,,
3493,decisive,6,dɪ'sɪsɪv,(形) 決定性的；果斷的；明確的,"If the team captain were more decisive, winning the championship would become possible.",如果隊長更果斷，贏得冠軍就會成為可能。,B1,conditional_2,12,noun,Claude AI,,
3494,deck out,,,(片) 裝飾；打扮；布置,The students decked out the classroom with colorful balloons for the graduation party.,學生們用五彩氣球裝飾教室，為畢業派對做準備。,B1,simple,12,noun,Claude AI,,
3495,deck,3,dɛk,(名) 甲板；層板　(動) 裝飾；整理,"Decking the cruise ship with colorful flags, the crew prepared for the international festival celebration.",船員用彩旗裝飾遊輪甲板，為國際節慶慶祝做準備。,B1,participial,12,noun (the crew),Claude AI,,
3496,declamatory,,dɪ'klæmətɔri,(形) 聲調浮誇的；言辭激昂的,"Although the politician delivered a declamatory speech that excited the crowd, many voters questioned whether his promises were realistic.",儘管那位政治人物發表了言辭激昂的演講讓群眾興奮，許多選民仍質疑他的承諾是否現實。,B1,adv_clause,12,noun_phrase,Claude AI,,
3497,declaration,5,ˌdɛklə'reʃən,(名) 宣言；宣布；聲明,"Not only did the president make a formal declaration, but also promised immediate action.",不僅總統發表了正式宣言，而且承諾立即採取行動。,B1,inversion,13,noun,Claude AI,,
3498,declare,4,dɪ'klɛr,(動) 宣布；聲明；申報,The president declared a new policy that would benefit all citizens.,總統宣布了一項將造福全民的新政策。,B1,adj_clause,12,noun,Claude AI,,
3499,decline,5,dɪ'klaɪn,(動) 拒絕；婉言謝絕；下降　(名) 衰落；下降,The company decided to decline the offer to preserve its independence and avoid unnecessary risk.,這家公司決定拒絕該提議，以保護自身的獨立性並避免不必要的風險。,B1,infinitive_purpose,13,noun (The company),Claude AI,,
3500,declining,,dɪ'klaɪnɪŋ,(動) 下降；衰退,The declining population in rural areas has become a serious problem for local governments.,農村地區人口衰退已成為地方政府的嚴重問題。,B1,compound,12,gerund/participial_adjective,Claude AI,,
3501,declivity,,dɪ'klɪvɪtɪ,(名) 下坡；向下傾斜,The mountain's declivity made hiking down quite challenging for inexperienced climbers.,那座山的下坡地形對於沒有經驗的登山者來說相當具有挑戰性。,B1,simple,12,noun (geographic feature),Claude AI,,
3502,decode,,dɪ'kod,(動) 解碼；破譯；理解,"As the archaeologist decoded the ancient inscriptions, students listened intently to understand the historical meaning.",當考古學家解碼古代銘文時，學生專心聆聽以理解歷史意義。,B1,adv_clause,13,noun,Claude AI,,
